Date,pred_ret,diff
1989-01-31,0.13285252171067374,-1
1989-02-28,0.14542608280834707,1
1989-03-31,0.15585288126016555,1
1989-04-30,0.16399987415128792,1
1989-05-31,0.169778047059328,1
1989-06-30,0.1731439184286997,1
1989-07-31,0.17410008712694433,1
1989-08-31,0.17269481323838232,-1
1989-09-30,0.1690206429046986,-1
1989-10-31,0.16321210853428086,-1
1989-11-30,0.15544255552966327,-1
1989-12-31,0.14592016539750205,-1
1990-01-31,0.1348832623044206,-1
1990-02-28,0.12259500545390338,-1
1990-03-31,0.10933758275409385,-1
1990-04-30,0.09540603184171399,-1
1990-05-31,0.08110182239524917,-1
1990-06-30,0.06672633864188071,-1
1990-07-31,0.052574402930859555,-1
1990-08-31,0.03892798016946473,-1
1990-09-30,0.02605019882056149,-1
1990-10-31,0.014179817132524558,-1
1990-11-30,0.003526253465719595,-1
1990-12-31,-0.0057347127923175895,-1
1991-01-31,-0.013464477900134025,-1
1991-02-28,-0.019564312849765092,-1
1991-03-31,-0.023977167961266463,-1
1991-04-30,-0.02668854556766387,-1
1991-05-31,-0.027726423664981473,-1
1991-06-30,-0.027160234055147163,1
1991-07-31,-0.0250989190774182,1
1991-08-31,-0.02168811106134401,1
1991-09-30,-0.01710649770752367,1
1991-10-31,-0.011561454298745947,1
1991-11-30,-0.00528403958055414,1
1991-12-31,0.0014765340180149696,1
1992-01-31,0.008458833725138164,1
1992-02-29,0.015395412453731265,1
1992-03-31,0.02201915070624553,1
1992-04-30,0.028069594582063935,1
1992-05-31,0.03329915018172899,1
1992-06-30,0.0374789978037364,1
1992-07-31,0.04040459539671971,1
1992-08-31,0.041900649631340915,1
1992-09-30,0.04182544449958716,-1
1992-10-31,0.04007443128478775,-1
1992-11-30,0.03658299977207204,-1
1992-12-31,0.031328368339508514,-1
1993-01-31,0.024330549700357335,-1
1993-02-28,0.015652369142853534,-1
1993-03-31,0.005398532701336625,-1
1993-04-30,-0.0062862366541305975,-1
1993-05-31,-0.01921995645021707,-1
1993-06-30,-0.03318697795292164,-1
1993-07-31,-0.04794233919679879,-1
1993-08-31,-0.06321678520092716,-1
1993-09-30,-0.07872234818961024,-1
1993-10-31,-0.09415836836386078,-1
1993-11-30,-0.10921782607400668,-1
1993-12-31,-0.12359384933468891,-1
1994-01-31,-0.13698625665124983,-1
1994-02-28,-0.14910799417781212,-1
1994-03-31,-0.1596913283235747,-1
1994-04-30,-0.16849366002064847,-1
1994-05-31,-0.17530283485482617,-1
1994-06-30,-0.17994183396833152,-1
1994-07-31,-0.18227274384026884,-1
1994-08-31,-0.18219991845189992,1
1994-09-30,-0.1796722646180037,1
1994-10-31,-0.1746846000399621,1
1994-11-30,-0.1672780535059315,1
1994-12-31,-0.15753949719988503,1
1995-01-31,-0.1456000218413834,1
1995-02-28,-0.131632485913733,1
1995-03-31,-0.11584819010659245,1
1995-04-30,-0.09849274687137953,1
1995-05-31,-0.07984123225891221,1
1995-06-30,-0.06019272260591818,1
1995-07-31,-0.03986433182814331,1
1995-08-31,-0.01918487577815588,1
1995-09-30,0.0015117018952018682,1
1995-10-31,0.021893002863519848,1
1995-11-30,0.04163480460738866,1
1995-12-31,0.06042750763834137,1
1996-01-31,0.07798226280827884,1
1996-02-29,0.09403664899343905,1
1996-03-31,0.10835978116335647,1
1996-04-30,0.12075674114886972,1
1996-05-31,0.1310722380412202,1
1996-06-30,0.1391934217707692,1
1996-07-31,0.1450517916698979,1
1996-08-31,0.14862416132587802,1
1996-09-30,0.14993266135471864,1
1996-10-31,0.1490437824372536,-1
1996-11-30,0.14606648160682217,-1
1996-12-31,0.14114939491799505,-1
1997-01-31,0.13447721882313352,-1
1997-02-28,0.12626634042377138,-1
1997-03-31,0.11675981286192666,-1
1997-04-30,0.10622178612518153,-1
1997-05-31,0.09493151515665413,-1
1997-06-30,0.08317707613647495,-1
1997-07-31,0.0712489279418386,-1
1997-08-31,0.05943345896624909,-1
1997-09-30,0.0480066596174166,-1
1997-10-31,0.037228057915289645,-1
1997-11-30,0.02733504974039029,-1
1997-12-31,0.018537746565791255,-1
1998-01-31,0.01101445213298774,-1
1998-02-28,0.004907865749337145,-1
1998-03-31,0.0003220939914305998,-1
1998-04-30,-0.002679465060852315,-1
1998-05-31,-0.004075319978178268,-1
1998-06-30,-0.003886141456623665,1
1998-07-31,-0.0021740705990562492,1
1998-08-31,0.0009589038664112454,1
1998-09-30,0.0053734630095895325,1
1998-10-31,0.01089631384463223,1
1998-11-30,0.01732431000010317,1
1998-12-31,0.02442924604357971,1
1999-01-31,0.0319632198948389,1
1999-02-28,0.03966444535584998,1
1999-03-31,0.047263386939689386,1
1999-04-30,0.054489082107527856,1
1999-05-31,0.06107551187634866,1
1999-06-30,0.06676787963015213,1
1999-07-31,0.07132865987892423,1
1999-08-31,0.07454328362158305,1
1999-09-30,0.07622533477564807,1
1999-10-31,0.07622114266897376,-1
1999-11-30,0.07441366862009116,-1
1999-12-31,0.07072559988195437,-1
2000-01-31,0.06512158135968703,-1
2000-02-29,0.05760953416587252,-1
2000-03-31,0.04824102984380544,-1
2000-04-30,0.03711070954253524,-1
2000-05-31,0.024354758125227437,-1
2000-06-30,0.010148463686719365,-1
2000-07-31,-0.005297087196125656,-1
2000-08-31,-0.021739109385906598,-1
2000-09-30,-0.0389079278930583,-1
2000-10-31,-0.05651239355287013,-1
2000-11-30,-0.0742457906100732,-1
2000-12-31,-0.09179211038433678,-1
2001-01-31,-0.10883255713502976,-1
2001-02-28,-0.12505214707396087,-1
